Doi,Year,Name,Abbreviation,Sintering temperature,Sintering time,Category,Cycle,Capacity,Retention,Current: mAg-1,Current: C,Voltage lower limit,Voltage upper limit,Elements
10.1016/j.actamat.2020.08.015,2020,NaNi0.67SbO2,,800.0,15.0,Cycling performance,1.0,102.5,,,,2.0,4.0,"{'Na': '1', 'Ni': '0.67', 'Sb': '1', 'O': '2'}"
10.1016/j.actamat.2020.08.015,2020,NaRu0.03Ni0.67Sb0.3O2,,800.0,15.0,Cycling performance,1.0,103.9,,,,2.0,4.0,"{'Na': '1', 'Ru': '0.03', 'Ni': '0.67', 'Sb': '0.3', 'O': '2'}"
10.1016/j.actamat.2020.08.015,2020,NaRu0.07Ni0.67Sb0.27O2,,800.0,15.0,Cycling performance,1.0,112.7,,,,2.0,4.0,"{'Na': '1', 'Ru': '0.07', 'Ni': '0.67', 'Sb': '0.27', 'O': '2'}"
10.1016/j.actamat.2020.08.015,2020,NaRu0.1Ni0.67Sb0.23O2,,800.0,15.0,Cycling performance,1.0,117.8,,,,2.0,4.0,"{'Na': '1', 'Ru': '0.1', 'Ni': '0.67', 'Sb': '0.23', 'O': '2'}"
10.1016/j.actamat.2020.08.015,2020,NaRu0.07Ni0.67Sb0.27O2,,800.0,15.0,Rate performance,,114.6,,20.0,,2.0,4.0,"{'Na': '1', 'Ru': '0.07', 'Ni': '0.67', 'Sb': '0.27', 'O': '2'}"
10.1016/j.actamat.2020.08.015,2020,NaRu0.07Ni0.67Sb0.27O2,,800.0,15.0,Rate performance,,93.7,,40.0,,2.0,4.0,"{'Na': '1', 'Ru': '0.07', 'Ni': '0.67', 'Sb': '0.27', 'O': '2'}"
10.1016/j.actamat.2020.08.015,2020,NaRu0.07Ni0.67Sb0.27O2,,800.0,15.0,Rate performance,,83.8,,100.0,,2.0,4.0,"{'Na': '1', 'Ru': '0.07', 'Ni': '0.67', 'Sb': '0.27', 'O': '2'}"
10.1016/j.actamat.2020.08.015,2020,NaRu0.07Ni0.67Sb0.27O2,,800.0,15.0,Rate performance,,76.9,,200.0,,2.0,4.0,"{'Na': '1', 'Ru': '0.07', 'Ni': '0.67', 'Sb': '0.27', 'O': '2'}"
10.1016/j.actamat.2020.08.015,2020,NaRu0.07Ni0.67Sb0.27O2,,800.0,15.0,Rate performance,,70.7,,400.0,,2.0,4.0,"{'Na': '1', 'Ru': '0.07', 'Ni': '0.67', 'Sb': '0.27', 'O': '2'}"
10.1016/j.actamat.2020.08.015,2020,NaRu0.07Ni0.67Sb0.27O2,,800.0,15.0,Rate performance,,60.0,,1000.0,,2.0,4.0,"{'Na': '1', 'Ru': '0.07', 'Ni': '0.67', 'Sb': '0.27', 'O': '2'}"
10.1016/j.actamat.2020.08.015,2020,NaNi0.67Sb0.33O2,,800.0,15.0,Cycling performance,100.0,44.1,,20.0,,2.0,4.0,"{'Na': '1', 'Ni': '0.67', 'Sb': '0.33', 'O': '2'}"
10.1016/j.actamat.2020.08.015,2020,NaNi0.67Sb0.33O2,,800.0,15.0,Cycling performance,1.0,111.6,,20.0,,2.0,4.0,"{'Na': '1', 'Ni': '0.67', 'Sb': '0.33', 'O': '2'}"
10.1016/j.actamat.2020.08.015,2020,NaNi0.67Sb0.33O2,,800.0,15.0,Cycling performance,100.0,,39.5,20.0,,2.0,4.0,"{'Na': '1', 'Ni': '0.67', 'Sb': '0.33', 'O': '2'}"
10.1016/j.actamat.2020.08.015,2020,NaRu0.07Ni0.67Sb0.27O2,,800.0,15.0,Cycling performance,100.0,64.5,,20.0,,2.0,4.0,"{'Na': '1', 'Ru': '0.07', 'Ni': '0.67', 'Sb': '0.27', 'O': '2'}"
10.1016/j.actamat.2020.08.015,2020,NaRu0.07Ni0.67Sb0.27O2,,800.0,15.0,Cycling performance,1.0,117.3,,20.0,,2.0,4.0,"{'Na': '1', 'Ru': '0.07', 'Ni': '0.67', 'Sb': '0.27', 'O': '2'}"
10.1016/j.actamat.2020.08.015,2020,NaRu0.07Ni0.67Sb0.27O2,,800.0,15.0,Cycling performance,100.0,,55.0,20.0,,2.0,4.0,"{'Na': '1', 'Ru': '0.07', 'Ni': '0.67', 'Sb': '0.27', 'O': '2'}"
10.1016/j.actamat.2020.08.015,2020,NaRu0.07Ni0.67Sb0.27O2,,800.0,15.0,Cycling performance,200.0,54.0,,200.0,,2.0,4.0,"{'Na': '1', 'Ru': '0.07', 'Ni': '0.67', 'Sb': '0.27', 'O': '2'}"
10.1016/j.actamat.2020.08.015,2020,NaRu0.07Ni0.67Sb0.27O2,,800.0,15.0,Cycling performance,1.0,111.3,,200.0,,2.0,4.0,"{'Na': '1', 'Ru': '0.07', 'Ni': '0.67', 'Sb': '0.27', 'O': '2'}"
10.1016/j.actamat.2020.08.015,2020,NaRu0.07Ni0.67Sb0.27O2,,800.0,15.0,Cycling performance,200.0,,48.5,200.0,,2.0,4.0,"{'Na': '1', 'Ru': '0.07', 'Ni': '0.67', 'Sb': '0.27', 'O': '2'}"
10.1016/j.apsusc.2019.143814,2019,Na0.67Mn0.5Fe0.5O2,MF,900.0,12.0,Cycling performance,100.0,,72.0,200.0,,1.5,4.2,"{'Na': '0.67', 'Mn': '0.5', 'Fe': '0.5', 'O': '2'}"
10.1016/j.apsusc.2019.143814,2019,Na0.67Mn0.5Fe0.5O2,MF,900.0,12.0,Rate performance,,179.0,,10.0,,1.5,4.2,"{'Na': '0.67', 'Mn': '0.5', 'Fe': '0.5', 'O': '2'}"
10.1016/j.apsusc.2019.143814,2019,Na0.67Mn0.5Fe0.5O2,MF,900.0,12.0,Rate performance,,134.0,,20.0,,1.5,4.2,"{'Na': '0.67', 'Mn': '0.5', 'Fe': '0.5', 'O': '2'}"
10.1016/j.apsusc.2019.143814,2019,Na0.67Mn0.5Fe0.5O2,MF,900.0,12.0,Rate performance,,104.0,,40.0,,1.5,4.2,"{'Na': '0.67', 'Mn': '0.5', 'Fe': '0.5', 'O': '2'}"
10.1016/j.apsusc.2019.143814,2019,Na0.67Mn0.5Fe0.5O2,MF,900.0,12.0,Rate performance,,63.0,,100.0,,1.5,4.2,"{'Na': '0.67', 'Mn': '0.5', 'Fe': '0.5', 'O': '2'}"
10.1016/j.apsusc.2019.143814,2019,Na0.67Mn0.5Fe0.5O2,MF,900.0,12.0,Rate performance,,26.0,,200.0,,1.5,4.2,"{'Na': '0.67', 'Mn': '0.5', 'Fe': '0.5', 'O': '2'}"
10.1016/j.apsusc.2019.143814,2019,Na0.67Mn0.5Fe0.5O2,MF,900.0,12.0,Rate performance,,187.0,,10.0,,1.5,4.2,"{'Na': '0.67', 'Mn': '0.5', 'Fe': '0.5', 'O': '2'}"
10.1016/j.apsusc.2019.143814,2019,Na0.67Mn0.5Fe0.5O2,MF,900.0,12.0,Rate performance,,166.0,,20.0,,1.5,4.2,"{'Na': '0.67', 'Mn': '0.5', 'Fe': '0.5', 'O': '2'}"
10.1016/j.apsusc.2019.143814,2019,Na0.67Mn0.5Fe0.5O2,MF,900.0,12.0,Rate performance,,151.0,,40.0,,1.5,4.2,"{'Na': '0.67', 'Mn': '0.5', 'Fe': '0.5', 'O': '2'}"
10.1016/j.apsusc.2019.143814,2019,Na0.67Mn0.5Fe0.5O2,MF,900.0,12.0,Rate performance,,120.0,,100.0,,1.5,4.2,"{'Na': '0.67', 'Mn': '0.5', 'Fe': '0.5', 'O': '2'}"
10.1016/j.apsusc.2019.143814,2019,Na0.67Mn0.5Fe0.5O2,MF,900.0,12.0,Rate performance,,87.0,,200.0,,1.5,4.2,"{'Na': '0.67', 'Mn': '0.5', 'Fe': '0.5', 'O': '2'}"
10.1016/j.apsusc.2019.143814,2019,Na0.67Mn0.5Fe0.5O2,MF,900.0,12.0,Rate performance,,61.0,,400.0,,1.5,4.2,"{'Na': '0.67', 'Mn': '0.5', 'Fe': '0.5', 'O': '2'}"
10.1016/j.apsusc.2019.143814,2019,Na0.67Mn0.5Fe0.5O2,MF,900.0,12.0,Rate performance,,15.0,,1000.0,,1.5,4.2,"{'Na': '0.67', 'Mn': '0.5', 'Fe': '0.5', 'O': '2'}"
