Doi,Year,Name,Abbreviation,Sintering temperature,Sintering time,Category,Cycle,Capacity,Retention,Current: mAg-1,Current: C,Voltage lower limit,Voltage upper limit,Elements
10.1016/j.jallcom.2019.03.257,2019,P2-Na0.67Mn0.5Co0.33Cu0.17O2,MCC,900.0,15.0,Cycling performance,1.0,105.0,,10.0,0.0952380952380952,1.6,4.3,"{'Na': '0.67', 'Mn': '0.5', 'Co': '0.33', 'Cu': '0.17', 'O': '2'}"
10.1016/j.electacta.2021.138561,2021,NaMn0.4Fe0.2Ni0.4O2,,900.0,12.0,Rate performance,,146.9,,14.0,0.0953029271613342,2.0,4.0,"{'Na': '1', 'Mn': '0.4', 'Fe': '0.2', 'Ni': '0.4', 'O': '2'}"
10.1039/d1ta10329f,2021,NaMn0.33Fe0.33Ni0.33O2,,,,Cycling performance,1.0,136.4,,13.0,0.095307917888563,2.0,4.0,"{'Na': '1', 'Mn': '0.33', 'Fe': '0.33', 'Ni': '0.33', 'O': '2'}"
10.1039/d1ta10329f,2021,NaMn0.23Co0.02Ni0.75O2,,,,Cycling performance,1.0,157.0,,15.0,0.0955414012738853,1.5,3.9,"{'Na': '1', 'Mn': '0.23', 'Co': '0.02', 'Ni': '0.75', 'O': '2'}"
10.1039/d1ta10329f,2021,NaMn0.33Fe0.33Ni0.33O2,,,,Rate performance,,136.0,,13.0,0.0955882352941176,2.0,4.0,"{'Na': '1', 'Mn': '0.33', 'Fe': '0.33', 'Ni': '0.33', 'O': '2'}"
10.1039/c5cc02233a,2015,NaTi0.5Ni0.5O2,,,,Cycling performance,1.0,126.4,,12.1,0.0957278481012658,1.5,4.0,"{'Na': '1', 'Ti': '0.5', 'Ni': '0.5', 'O': '2'}"
10.1016/j.electacta.2021.138561,2021,NaMn0.4Fe0.2Ni0.4O2,,900.0,12.0,Rate performance,,146.2,,14.0,0.0957592339261286,2.0,4.0,"{'Na': '1', 'Mn': '0.4', 'Fe': '0.2', 'Ni': '0.4', 'O': '2'}"
10.1016/j.electacta.2019.06.020,2019,P2/O3-Na0.67Mn0.57Ni0.33Sn0.1O2,,1000.0,15.0,Cycling performance,1.0,155.2,,15.0,0.0966494845360824,2.0,4.3,"{'Na': '0.67', 'Mn': '0.57', 'Ni': '0.33', 'Sn': '0.1', 'O': '2'}"
10.1016/j.carbon.2019.11.011,2020,Na0.8Mn0.66Ni0.22Zn0.06O2,,900.0,15.0,Cycling performance,100.0,124.0,,12.0,0.0967741935483871,,,"{'Na': '0.8', 'Mn': '0.66', 'Ni': '0.22', 'Zn': '0.06', 'O': '2'}"
10.1016/j.jpowsour.2019.03.031,2019,NaMn0.2Co0.2Ni0.6O2,Na-NCM622,680.0,24.0,Cycling performance,1.0,154.8,,15.0,0.0968992248062015,1.5,4.1,"{'Na': '1', 'Mn': '0.2', 'Co': '0.2', 'Ni': '0.6', 'O': '2'}"
