Doi,Year,Name,Abbreviation,Sintering temperature,Sintering time,Category,Cycle,Capacity,Retention,Current: mAg-1,Current: C,Voltage lower limit,Voltage upper limit,Elements
10.1039/c4ta03828b,2014,NaMn0.4Fe0.2Ni0.4O2,,,,Rate performance,,75.0,,,0.0,2.0,4.2,"{'Na': '1', 'Mn': '0.4', 'Fe': '0.2', 'Ni': '0.4', 'O': '2'}"
10.1016/j.electacta.2017.12.177,2018,Na0.7Li0.3Mn0.75O2,,800.0,12.0,Rate performance,,121.0,,0.34,0.002809917355371901,,,"{'Na': '0.7', 'Li': '0.3', 'Mn': '0.75', 'O': '2'}"
10.1016/j.ceramint.2013.08.013,2014,Na0.71CoO2,,800.0,8.0,Cycling performance,3.0,91.5,,,0.008,2.0,3.5,"{'Na': '0.71', 'Co': '1', 'O': '2'}"
10.1016/j.ceramint.2013.08.013,2014,Na0.71CoO2,,800.0,8.0,Cycling performance,3.0,76.3,,,0.008,2.0,3.5,"{'Na': '0.71', 'Co': '1', 'O': '2'}"
10.1016/j.electacta.2017.12.177,2018,Na0.7Li0.3Mn0.75O2,,800.0,12.0,Rate performance,,92.0,,1.7,0.01847826086956522,,,"{'Na': '0.7', 'Li': '0.3', 'Mn': '0.75', 'O': '2'}"
10.1039/c6ta07392a,2016,NaMn0.1Co0.1Ni0.8O2,Na-NCM,750.0,24.0,Rate performance,,811.0,,15.0,0.018495684340320593,1.5,4.1,"{'Na': '1', 'Mn': '0.1', 'Co': '0.1', 'Ni': '0.8', 'O': '2'}"
10.1016/j.ceramint.2013.08.013,2014,Na0.71CoO2,,800.0,8.0,Rate performance,,77.4,,,0.02,2.0,3.5,"{'Na': '0.71', 'Co': '1', 'O': '2'}"
10.1039/c6ta08661f,2016,NaNi0.67Sb0.33O2,,750.0,12.0,Cycling performance,50.0,,90.0,,0.02,2.0,4.0,"{'Na': '1', 'Ni': '0.67', 'Sb': '0.33', 'O': '2'}"
10.1016/j.elecom.2009.12.033,2010,NaCrO2,,900.0,5.0,Rate performance,,240.0,,5.0,0.020833333333333332,3.0,4.5,"{'Na': '1', 'Cr': '1', 'O': '2'}"
10.1039/c6ta07392a,2016,NaMn0.1Co0.1Ni0.8O2,Na-NCM,750.0,24.0,Rate performance,,622.0,,15.0,0.024115755627009645,1.5,4.1,"{'Na': '1', 'Mn': '0.1', 'Co': '0.1', 'Ni': '0.8', 'O': '2'}"
10.1016/j.ceramint.2023.03.009,2023,P2-Na0.67Mn0.67Ni0.33O2,,850.0,14.0,Cycling performance,1.0,586.0,,15.0,0.025597269624573378,2.0,4.3,"{'Na': '0.67', 'Mn': '0.67', 'Ni': '0.33', 'O': '2'}"
10.1016/j.ensm.2021.02.020,2021,P3-Na0.75Mg0.08Mn0.6Co0.1Ni0.2O2,MNCM,700.0,15.0,Cycling performance,1.0,269.1,,7.5,0.027870680044593085,0.01,2.0,"{'Na': '0.75', 'Mg': '0.08', 'Mn': '0.6', 'Co': '0.1', 'Ni': '0.2', 'O': '2'}"
10.1039/c6ta07392a,2016,NaMn0.1Co0.1Ni0.8O2,Na-NCM,750.0,24.0,Rate performance,,523.0,,15.0,0.028680688336520075,1.5,4.1,"{'Na': '1', 'Mn': '0.1', 'Co': '0.1', 'Ni': '0.8', 'O': '2'}"
10.1016/j.ssi.2016.01.003,2016,Na0.7Mn0.3Co0.7O2,,850.0,12.0,Rate performance,,100.0,,,0.029,1.5,3.8,"{'Na': '0.7', 'Mn': '0.3', 'Co': '0.7', 'O': '2'}"
10.1016/j.electacta.2017.12.177,2018,Na0.67Mn0.67Ni0.33O2,,800.0,12.0,Rate performance,,58.0,,1.7,0.029310344827586206,,,"{'Na': '0.67', 'Mn': '0.67', 'Ni': '0.33', 'O': '2'}"
10.1016/j.jpowsour.2013.06.073,2013,Na0.67Ni0.67Te0.33O2,,810.0,24.0,Rate performance,,100.0,,,0.03,3.0,4.35,"{'Na': '0.67', 'Ni': '0.67', 'Te': '0.33', 'O': '2'}"
10.1016/j.ensm.2021.02.020,2021,P3-Na0.75Mg0.08Mn0.6Co0.1Ni0.2O2,MNCM,700.0,15.0,Cycling performance,100.0,220.7,,7.5,0.03398278205709108,0.01,2.0,"{'Na': '0.75', 'Mg': '0.08', 'Mn': '0.6', 'Co': '0.1', 'Ni': '0.2', 'O': '2'}"
10.1016/j.elecom.2012.06.001,2012,NaCrO2,,900.0,5.0,Rate performance,,135.0,,5.0,0.037037037037037035,,,"{'Na': '1', 'Cr': '1', 'O': '2'}"
10.1016/j.ceramint.2013.08.013,2014,Na0.71CoO2,,800.0,8.0,Rate performance,,73.8,,,0.04,2.0,3.5,"{'Na': '0.71', 'Co': '1', 'O': '2'}"
10.1016/j.elecom.2012.06.001,2012,NaCrO2,,900.0,5.0,Rate performance,,125.0,,5.0,0.04,,,"{'Na': '1', 'Cr': '1', 'O': '2'}"
10.1039/c5ta06361b,2015,Na0.67Mg0.1Mn0.65Ni0.25O2,,,,Rate performance,,106.0,,,0.04,2.0,4.2,"{'Na': '0.67', 'Mg': '0.1', 'Mn': '0.65', 'Ni': '0.25', 'O': '2'}"
10.1016/j.compositesb.2021.108729,2021,Na0.72Li0.24Mn0.76O2,,900.0,10.0,Cycling performance,1.0,132.0,,5.3,0.04015151515151515,1.5,4.2,"{'Na': '0.72', 'Li': '0.24', 'Mn': '0.76', 'O': '2'}"
10.1039/c2cp40699c,2012,Na0.71CoO2,,800.0,16.0,Rate performance,,120.0,,5.0,0.041666666666666664,2.0,3.9,"{'Na': '0.71', 'Co': '1', 'O': '2'}"
10.1016/j.elecom.2012.06.001,2012,NaCrO2,,900.0,5.0,Rate performance,,116.0,,5.0,0.04310344827586207,,,"{'Na': '1', 'Cr': '1', 'O': '2'}"
10.1016/j.compositesb.2021.108729,2021,Na0.66Li0.22Ti0.78O2,NLTO,900.0,10.0,Cycling performance,4.0,122.0,,5.3,0.04344262295081967,1.5,4.2,"{'Na': '0.66', 'Li': '0.22', 'Ti': '0.78', 'O': '2'}"
10.1039/d1ta10329f,2021,NaMg0.02Mn0.48Fe0.3Ni0.2O2,,,,Rate performance,,160.0,,7.0,0.04375,2.0,4.2,"{'Na': '1', 'Mg': '0.02', 'Mn': '0.48', 'Fe': '0.3', 'Ni': '0.2', 'O': '2'}"
10.1039/c6ta10818k,2016,NaCr0.33Mn0.33Fe0.33O2,NCFM,900.0,12.0,Rate performance,,186.0,,8.33,0.04478494623655914,1.5,4.2,"{'Na': '1', 'Cr': '0.33', 'Mn': '0.33', 'Fe': '0.33', 'O': '2'}"
10.1016/j.elecom.2012.06.001,2012,NaCrO2,,900.0,5.0,Rate performance,,106.0,,5.0,0.04716981132075472,,,"{'Na': '1', 'Cr': '1', 'O': '2'}"
10.1016/j.jpowsour.2016.10.084,2017,NaN3,,900.0,12.0,Rate performance,,315.0,,15.0,0.047619047619047616,1.5,4.3,"{'Na': '1', 'N': '3'}"
10.1016/j.cej.2022.138883,2023,P2-Na0.67Mg0.22Mn0.55Fe0.23O2,,900.0,10.0,Rate performance,,207.0,,10.0,0.04830917874396135,1.5,4.4,"{'Na': '0.67', 'Mg': '0.22', 'Mn': '0.55', 'Fe': '0.23', 'O': '2'}"
10.1016/j.cej.2022.138883,2023,P2-Na0.67Mg0.22Mn0.55Fe0.23O2,,900.0,10.0,Rate performance,,207.0,,10.0,0.04830917874396135,,,"{'Na': '0.67', 'Mg': '0.22', 'Mn': '0.55', 'Fe': '0.23', 'O': '2'}"
10.1039/d1ta05390f,2021,NaMnO2,,800.0,10.0,Rate performance,,244.0,,12.0,0.04918032786885246,2.0,3.8,"{'Na': '1', 'Mn': '1', 'O': '2'}"
10.1016/j.cej.2022.138883,2023,Na0.67Mg0.22Mn0.55Fe0.23O2,,900.0,10.0,Rate performance,,203.0,,10.0,0.04926108374384237,1.4,4.3,"{'Na': '0.67', 'Mg': '0.22', 'Mn': '0.55', 'Fe': '0.23', 'O': '2'}"
10.1016/j.electacta.2017.12.177,2018,Na0.7Li0.3Mn0.75O2,,800.0,12.0,Rate performance,,69.0,,3.4,0.049275362318840575,,,"{'Na': '0.7', 'Li': '0.3', 'Mn': '0.75', 'O': '2'}"
