text,label
76,0
96,0
"=?,@{",0
61,0
38,0
",_",0
Na0.53V0.74Mo0.26O2,1
36,0
occulter,0
22,0
Na0.1Rh0.55Zr0.32Tc0.13O2,1
frammit,0
Aeolian,0
Na0.09Cr0.71Fe0.11Ni0.18O2,1
\$!,0
:<^*),0
weekwam,0
",]**",0
55,0
Na0.07V0.57Nb0.43O2,1
brawling,0
contrastive,0
scrub,0
Na0.82RhO2,1
Na1.0IrO2,1
Na0.97Zr0.19Mn0.76Nb0.05O2,1
scrimer,0
71,0
87,0
bollard,0
burdock,0
28,0
nontaxonomic,0
52,0
Na0.01Re0.99Rh0.01V0.0O2,1
29,0
*;^)#,0
62,0
11,0
57,0
Baubo,0
84,0
",%:[-",0
58,0
Na0.74Rh0.5Cr0.27Pt0.23O2,1
Na0.09TaO2,1
Na0.58Mo0.09Mn0.51Pd0.4O2,1
_,0
1,0
".!;""\",0
atwist,0
Dilantin,0
65,0
95,0
Na0.65V0.61Rh0.11Pt0.28O2,1
pseudobulbil,0
37,0
)>*),0
"_""%,",0
+,0
32,0
4,0
Na0.27ReO2,1
NaxCo0.74Rh0.26O2,1
79,0
unisilicate,0
unapplicableness,0
-^-,0
predecay,0
17,0
60,0
Na0.54Re0.78V0.2Pt0.02O2,1
_{,0
29,0
!,0
NaxPd0.82Ni0.18O2,1
",]_",0
\',0
nonsyntactic,0
85,0
tideward,0
[,0
50,0
;,0
Na0.63Os0.91Cr0.03W0.06O2,1
")-{""<",0
chopstick,0
Na0.5W0.92V0.05Rh0.03O2,1
=]<+,0
ultramodest,0
37,0
Na0.95Mn0.05Ru0.6Pd0.35O2,1
*?%,0
49,0
Haussmannize,0
NaxNiO2,1
Gertrude,0
vicarian,0
Procellariidae,0
3,0
microzoon,0
48,0
NaxVO2,1
NaxZrO2,1
_,0
16,0
Na0.1Co0.31Mn0.58Tc0.11O2,1
derivation,0
hirsuties,0
0,0
99,0
capreolary,0
"""",0
]{?,0
:,0
19,0
+|,0
Na0.89FeO2,1
circumciser,0
46,0
uneleemosynary,0
<,0
0,0
(,0
jert,0
=_?,0
82,0
arthrodial,0
]{,0
",",0
89,0
Na1.0TaO2,1
",%?;=",0
&${_,0
Na0.59NbxMn1-xO2,1
?$),0
[$!{,0
archchief,0
NaxNbO2,1
61,0
27,0
virtueproof,0
cumulatively,0
NaxHfxRe1-xO2,1
helianthaceous,0
toothlessness,0
5,0
drupetum,0
Dashnak,0
!|,0
62,0
"}""<",0
Na0.83Mo0.53Nb0.47O2,1
50,0
Na0.52Pd0.29Rh0.71O2,1
Na0.16HfO2,1
cumol,0
22,0
96,0
/|},0
80,0
59,0
quatern,0
